,taster_name,taster_twitter_handle,points
110,Roger Voss,@vossroger,87
111,Virginie Boone,@vboone,87
112,Kerin O’Keefe,@kerinokeefe,87
113,Kerin O’Keefe,@kerinokeefe,87
114,Matt Kettmann,@mattkettmann,87
115,Matt Kettmann,@mattkettmann,87
116,Matt Kettmann,@mattkettmann,87
117,Matt Kettmann,@mattkettmann,87
118,Kerin O’Keefe,@kerinokeefe,87
119,,,92
120,,,92
121,,,92
122,,,92
123,Joe Czerwinski,@JoeCz,92
124,,,92
125,Roger Voss,@vossroger,91
126,,,91
127,,,91
128,,,91
129,,,91
130,,,91
131,,,91
132,Roger Voss,@vossroger,91
133,,,91
134,,,91
135,,,91
136,Joe Czerwinski,@JoeCz,91
137,Roger Voss,@vossroger,90
138,,,90
139,,,90
140,,,90
141,,,90
142,,,90
143,,,90
144,Virginie Boone,@vboone,91
145,Matt Kettmann,@mattkettmann,91
146,Matt Kettmann,@mattkettmann,91
147,Matt Kettmann,@mattkettmann,91
148,Anna Lee C. Iijima,,91
149,Matt Kettmann,@mattkettmann,91
150,Virginie Boone,@vboone,91
151,Roger Voss,@vossroger,91
152,Matt Kettmann,@mattkettmann,91
153,Matt Kettmann,@mattkettmann,91
154,Michael Schachner,@wineschach,91
155,Matt Kettmann,@mattkettmann,91
156,Anna Lee C. Iijima,,91
157,Roger Voss,@vossroger,91
158,Kerin O’Keefe,@kerinokeefe,91
159,Kerin O’Keefe,@kerinokeefe,91
160,Roger Voss,@vossroger,91
161,Matt Kettmann,@mattkettmann,91
162,Matt Kettmann,@mattkettmann,91
163,Roger Voss,@vossroger,91
164,Michael Schachner,@wineschach,91
165,Michael Schachner,@wineschach,91
166,Roger Voss,@vossroger,91
167,Matt Kettmann,@mattkettmann,91
168,Virginie Boone,@vboone,91
169,Virginie Boone,@vboone,91
170,Anna Lee C. Iijima,,91
171,Anna Lee C. Iijima,,91
172,Michael Schachner,@wineschach,91
173,Paul Gregutt,@paulgwine ,91
174,Joe Czerwinski,@JoeCz,88
175,,,88
176,Michael Schachner,@wineschach,88
177,,,88
178,,,88
179,Roger Voss,@vossroger,88
180,,,88
181,,,88
182,,,88
183,Michael Schachner,@wineschach,88
184,,,88
185,Michael Schachner,@wineschach,88
186,,,88
187,,,88
188,Michael Schachner,@wineschach,88
189,Michael Schachner,@wineschach,87
190,,,87
191,Joe Czerwinski,@JoeCz,87
192,,,87
193,Roger Voss,@vossroger,87
194,,,87
195,,,87
196,,,87
197,Lauren Buzzeo,@laurbuzz,90
198,Virginie Boone,@vboone,90
199,Jim Gordon,@gordone_cellars,90
200,Kerin O’Keefe,@kerinokeefe,90
201,Kerin O’Keefe,@kerinokeefe,90
202,Mike DeSimone,@worldwineguys,90
203,Roger Voss,@vossroger,90
204,Matt Kettmann,@mattkettmann,90
205,Matt Kettmann,@mattkettmann,90
206,Virginie Boone,@vboone,90
207,Virginie Boone,@vboone,90
208,Lauren Buzzeo,@laurbuzz,90
209,Joe Czerwinski,@JoeCz,90
210,Lauren Buzzeo,@laurbuzz,90
211,Joe Czerwinski,@JoeCz,90
212,Michael Schachner,@wineschach,90
213,Matt Kettmann,@mattkettmann,90
214,Virginie Boone,@vboone,90
215,Mike DeSimone,@worldwineguys,90
216,Kerin O’Keefe,@kerinokeefe,90
217,Roger Voss,@vossroger,90
218,Virginie Boone,@vboone,90
219,Jeff Jenssen,@worldwineguys,90
220,Virginie Boone,@vboone,90
221,Kerin O’Keefe,@kerinokeefe,90
222,Kerin O’Keefe,@kerinokeefe,90
223,Kerin O’Keefe,@kerinokeefe,90
224,Michael Schachner,@wineschach,90
225,Lauren Buzzeo,@laurbuzz,90
226,Lauren Buzzeo,@laurbuzz,90
227,,,85
228,,,85
229,,,85
230,Susan Kostrzewa,@suskostrzewa,85
231,Michael Schachner,@wineschach,85
232,,,85
233,Paul Gregutt,@paulgwine ,85
234,,,85
235,,,85
236,,,85
237,,,85
238,Joe Czerwinski,@JoeCz,85
239,,,85
240,Roger Voss,@vossroger,85
241,,,85
242,,,85
243,,,85
244,Michael Schachner,@wineschach,85
245,Michael Schachner,@wineschach,85
246,,,85
247,,,85
248,Paul Gregutt,@paulgwine ,85
249,,,85
250,,,85
251,Paul Gregutt,@paulgwine ,85
252,,,85
253,Michael Schachner,@wineschach,85
254,,,89
255,Virginie Boone,@vboone,89
256,Lauren Buzzeo,@laurbuzz,89
257,Lauren Buzzeo,@laurbuzz,89
258,Lauren Buzzeo,@laurbuzz,89
259,Roger Voss,@vossroger,89
260,Paul Gregutt,@paulgwine ,89
261,Michael Schachner,@wineschach,89
262,Virginie Boone,@vboone,89
263,,,89
264,Lauren Buzzeo,@laurbuzz,89
265,Lauren Buzzeo,@laurbuzz,89
266,Michael Schachner,@wineschach,89
267,,,89
268,,,89
269,Roger Voss,@vossroger,89
270,,,89
271,Susan Kostrzewa,@suskostrzewa,89
272,,,89
273,Michael Schachner,@wineschach,89
274,,,89
275,Michael Schachner,@wineschach,89
276,,,89
277,,,89
278,Paul Gregutt,@paulgwine ,89
279,,,89
280,Roger Voss,@vossroger,92
281,,,92
282,Kerin O’Keefe,@kerinokeefe,92
283,Paul Gregutt,@paulgwine ,92
284,Michael Schachner,@wineschach,92
285,Roger Voss,@vossroger,92
286,,,92
287,Michael Schachner,@wineschach,92
288,Roger Voss,@vossroger,92
289,,,92
290,Roger Voss,@vossroger,92
291,Kerin O’Keefe,@kerinokeefe,92
292,Roger Voss,@vossroger,92
293,Joe Czerwinski,@JoeCz,92
294,Michael Schachner,@wineschach,92
295,,,87
296,Michael Schachner,@wineschach,87
297,,,87
298,Michael Schachner,@wineschach,87
299,,,87
300,,,87
301,Paul Gregutt,@paulgwine ,87
302,,,87
303,,,87
304,,,87
305,Virginie Boone,@vboone,87
306,Anna Lee C. Iijima,,87
307,Roger Voss,@vossroger,87
308,Susan Kostrzewa,@suskostrzewa,87
309,,,87
310,,,87
311,Joe Czerwinski,@JoeCz,87
312,,,87
313,,,87
314,,,87
315,,,86
316,Roger Voss,@vossroger,86
317,Roger Voss,@vossroger,86
318,Michael Schachner,@wineschach,86
319,,,86
320,,,86
321,,,86
322,,,86
323,Michael Schachner,@wineschach,86
324,,,86
325,Susan Kostrzewa,@suskostrzewa,86
326,,,86
327,Michael Schachner,@wineschach,86
328,,,86
329,,,86
330,,,86
331,Michael Schachner,@wineschach,86
332,,,86
333,,,86
334,Roger Voss,@vossroger,86
335,,,86
336,Michael Schachner,@wineschach,83
337,Lauren Buzzeo,@laurbuzz,83
338,Roger Voss,@vossroger,82
339,Michael Schachner,@wineschach,82
340,Anne Krebiehl MW,@AnneInVino,82
341,Virginie Boone,@vboone,82
342,Michael Schachner,@wineschach,82
343,Michael Schachner,@wineschach,81
344,Michael Schachner,@wineschach,80
345,Joe Czerwinski,@JoeCz,100
346,Joe Czerwinski,@JoeCz,98
347,Anna Lee C. Iijima,,97
348,Joe Czerwinski,@JoeCz,97
349,Joe Czerwinski,@JoeCz,97
350,Kerin O’Keefe,@kerinokeefe,97
351,Jeff Jenssen,@worldwineguys,96
352,Virginie Boone,@vboone,96
353,Roger Voss,@vossroger,96
354,Anna Lee C. Iijima,,96
355,Virginie Boone,@vboone,96
356,Joe Czerwinski,@JoeCz,95
357,Roger Voss,@vossroger,95
358,Anna Lee C. Iijima,,95
359,Roger Voss,@vossroger,95
360,Joe Czerwinski,@JoeCz,95
361,Kerin O’Keefe,@kerinokeefe,95
362,Virginie Boone,@vboone,95
363,Roger Voss,@vossroger,95
364,Paul Gregutt,@paulgwine ,95
365,Joe Czerwinski,@JoeCz,95
366,Joe Czerwinski,@JoeCz,88
367,Michael Schachner,@wineschach,88
368,Joe Czerwinski,@JoeCz,88
369,Joe Czerwinski,@JoeCz,88
370,,,88
371,Roger Voss,@vossroger,88
372,Roger Voss,@vossroger,88
373,Roger Voss,@vossroger,88
374,,,88
375,,,88
376,Roger Voss,@vossroger,88
377,Roger Voss,@vossroger,88
378,,,88
379,Joe Czerwinski,@JoeCz,88
380,Michael Schachner,@wineschach,88
381,Joe Czerwinski,@JoeCz,88
382,Michael Schachner,@wineschach,88
383,Joe Czerwinski,@JoeCz,88
384,Roger Voss,@vossroger,88
385,,,88
386,,,88
387,,,88
388,Roger Voss,@vossroger,88
389,Joe Czerwinski,@JoeCz,88
390,Michael Schachner,@wineschach,88
391,Michael Schachner,@wineschach,88
392,,,87
393,Michael Schachner,@wineschach,87
394,Michael Schachner,@wineschach,87
395,Roger Voss,@vossroger,87
396,,,85
397,Michael Schachner,@wineschach,85
398,Michael Schachner,@wineschach,85
399,,,85
400,,,85
401,,,85
402,Michael Schachner,@wineschach,85
403,,,85
404,,,85
405,,,85
406,Roger Voss,@vossroger,85
407,Michael Schachner,@wineschach,85
408,,,85
409,Susan Kostrzewa,@suskostrzewa,85
410,Susan Kostrzewa,@suskostrzewa,85
411,,,85
412,,,85
413,,,85
414,,,85
415,Susan Kostrzewa,@suskostrzewa,85
416,,,85
417,,,85
418,Roger Voss,@vossroger,85
419,Roger Voss,@vossroger,89
420,Roger Voss,@vossroger,89
421,Sean P. Sullivan,@wawinereport,89
422,Sean P. Sullivan,@wawinereport,89
423,Anne Krebiehl MW,@AnneInVino,89
424,Jim Gordon,@gordone_cellars,89
425,Anna Lee C. Iijima,,89
426,Michael Schachner,@wineschach,89
427,Anna Lee C. Iijima,,89
428,Anne Krebiehl MW,@AnneInVino,89
429,Sean P. Sullivan,@wawinereport,89
430,Matt Kettmann,@mattkettmann,89
431,Matt Kettmann,@mattkettmann,89
432,Sean P. Sullivan,@wawinereport,89
433,Jim Gordon,@gordone_cellars,89
434,Kerin O’Keefe,@kerinokeefe,89
435,Anne Krebiehl MW,@AnneInVino,89
436,Kerin O’Keefe,@kerinokeefe,89
437,Virginie Boone,@vboone,89
438,Michael Schachner,@wineschach,89
439,Michael Schachner,@wineschach,89
440,Sean P. Sullivan,@wawinereport,89
441,Anne Krebiehl MW,@AnneInVino,89
442,Anna Lee C. Iijima,,89
443,Virginie Boone,@vboone,88
444,Anne Krebiehl MW,@AnneInVino,88
445,Kerin O’Keefe,@kerinokeefe,88
446,Matt Kettmann,@mattkettmann,88
447,Roger Voss,@vossroger,88
448,Joe Czerwinski,@JoeCz,88
449,Kerin O’Keefe,@kerinokeefe,92
450,Roger Voss,@vossroger,92
451,Kerin O’Keefe,@kerinokeefe,92
452,Roger Voss,@vossroger,92
453,Roger Voss,@vossroger,92
454,Sean P. Sullivan,@wawinereport,92
455,,,92
456,Virginie Boone,@vboone,92
457,,,92
458,Kerin O’Keefe,@kerinokeefe,92
459,Roger Voss,@vossroger,92
460,Paul Gregutt,@paulgwine ,92
461,Paul Gregutt,@paulgwine ,92
462,Roger Voss,@vossroger,92
463,Roger Voss,@vossroger,92
464,Anna Lee C. Iijima,,92
465,Kerin O’Keefe,@kerinokeefe,92
466,Roger Voss,@vossroger,92
467,Paul Gregutt,@paulgwine ,92
468,Anna Lee C. Iijima,,92
469,Anna Lee C. Iijima,,92
470,Roger Voss,@vossroger,92
471,Roger Voss,@vossroger,92
472,Roger Voss,@vossroger,92
473,Roger Voss,@vossroger,92
474,Roger Voss,@vossroger,92
475,,,92
476,,,92
477,Roger Voss,@vossroger,92
478,Roger Voss,@vossroger,92
479,,,87
480,Paul Gregutt,@paulgwine ,87
481,,,87
482,,,87
483,Lauren Buzzeo,@laurbuzz,87
484,Lauren Buzzeo,@laurbuzz,87
485,Joe Czerwinski,@JoeCz,87
486,,,87
487,,,87
488,,,87
489,,,87
490,Michael Schachner,@wineschach,87
491,Roger Voss,@vossroger,87
492,Paul Gregutt,@paulgwine ,87
493,Paul Gregutt,@paulgwine ,87
494,Anna Lee C. Iijima,,87
495,Virginie Boone,@vboone,87
496,Michael Schachner,@wineschach,87
497,Virginie Boone,@vboone,87
498,,,87
499,Roger Voss,@vossroger,87
500,Michael Schachner,@wineschach,87
501,Virginie Boone,@vboone,87
502,Roger Voss,@vossroger,87
503,,,87
504,Joe Czerwinski,@JoeCz,87
505,Michael Schachner,@wineschach,87
506,,,87
507,Paul Gregutt,@paulgwine ,87
508,Paul Gregutt,@paulgwine ,87
509,Virginie Boone,@vboone,91
510,Matt Kettmann,@mattkettmann,91
511,Roger Voss,@vossroger,91
512,Roger Voss,@vossroger,91
513,Virginie Boone,@vboone,91
514,Michael Schachner,@wineschach,91
515,Virginie Boone,@vboone,91
516,Virginie Boone,@vboone,91
517,Virginie Boone,@vboone,91
518,Roger Voss,@vossroger,91
519,Jim Gordon,@gordone_cellars,91
520,Matt Kettmann,@mattkettmann,91
521,Matt Kettmann,@mattkettmann,91
522,Paul Gregutt,@paulgwine ,91
523,Paul Gregutt,@paulgwine ,91
524,Sean P. Sullivan,@wawinereport,91
525,Matt Kettmann,@mattkettmann,91
526,Paul Gregutt,@paulgwine ,91
527,Anna Lee C. Iijima,,91
528,Roger Voss,@vossroger,91
529,Virginie Boone,@vboone,91
530,Michael Schachner,@wineschach,91
531,Paul Gregutt,@paulgwine ,91
532,Paul Gregutt,@paulgwine ,91
533,Paul Gregutt,@paulgwine ,91
534,Matt Kettmann,@mattkettmann,91
535,Anna Lee C. Iijima,,91
536,Sean P. Sullivan,@wawinereport,91
537,Virginie Boone,@vboone,91
538,Paul Gregutt,@paulgwine ,91
539,Matt Kettmann,@mattkettmann,93
540,Matt Kettmann,@mattkettmann,93
541,Matt Kettmann,@mattkettmann,93
542,Kerin O’Keefe,@kerinokeefe,93
543,Virginie Boone,@vboone,93
544,Matt Kettmann,@mattkettmann,93
545,Virginie Boone,@vboone,93
546,Virginie Boone,@vboone,93
547,Matt Kettmann,@mattkettmann,93
548,Virginie Boone,@vboone,93
549,Kerin O’Keefe,@kerinokeefe,93
550,Virginie Boone,@vboone,93
551,Virginie Boone,@vboone,93
552,Roger Voss,@vossroger,93
553,Michael Schachner,@wineschach,93
554,Roger Voss,@vossroger,93
555,Sean P. Sullivan,@wawinereport,93
556,Michael Schachner,@wineschach,93
557,Matt Kettmann,@mattkettmann,93
558,Jim Gordon,@gordone_cellars,93
559,Virginie Boone,@vboone,93
560,Virginie Boone,@vboone,93
561,Jim Gordon,@gordone_cellars,93
562,Virginie Boone,@vboone,93
563,Matt Kettmann,@mattkettmann,93
564,Matt Kettmann,@mattkettmann,93
565,Matt Kettmann,@mattkettmann,93
566,Virginie Boone,@vboone,93
567,Michael Schachner,@wineschach,93
568,Virginie Boone,@vboone,93
569,Sean P. Sullivan,@wawinereport,89
570,Sean P. Sullivan,@wawinereport,89
571,Jim Gordon,@gordone_cellars,89
572,Kerin O’Keefe,@kerinokeefe,89
573,Roger Voss,@vossroger,89
574,Joe Czerwinski,@JoeCz,89
575,Roger Voss,@vossroger,89
576,Roger Voss,@vossroger,89
577,Anna Lee C. Iijima,,89
578,Roger Voss,@vossroger,89
579,Jim Gordon,@gordone_cellars,89
580,Sean P. Sullivan,@wawinereport,89
581,Sean P. Sullivan,@wawinereport,89
582,Sean P. Sullivan,@wawinereport,89
583,Matt Kettmann,@mattkettmann,89
584,Anne Krebiehl MW,@AnneInVino,89
585,Sean P. Sullivan,@wawinereport,89
586,Anne Krebiehl MW,@AnneInVino,89
587,Anne Krebiehl MW,@AnneInVino,89
588,Jim Gordon,@gordone_cellars,89
589,Anne Krebiehl MW,@AnneInVino,89
590,Matt Kettmann,@mattkettmann,89
591,Anne Krebiehl MW,@AnneInVino,89
592,Sean P. Sullivan,@wawinereport,89
593,Anne Krebiehl MW,@AnneInVino,89
594,Joe Czerwinski,@JoeCz,89
595,Sean P. Sullivan,@wawinereport,89
596,Susan Kostrzewa,@suskostrzewa,89
597,Anne Krebiehl MW,@AnneInVino,89
598,Matt Kettmann,@mattkettmann,89
599,,,87
600,,,87
601,Michael Schachner,@wineschach,87
602,,,87
603,Anna Lee C. Iijima,,87
604,Michael Schachner,@wineschach,87
605,Michael Schachner,@wineschach,87
606,Sean P. Sullivan,@wawinereport,87
607,Sean P. Sullivan,@wawinereport,87
608,Roger Voss,@vossroger,87
609,Paul Gregutt,@paulgwine ,87
610,,,87
611,,,87
612,,,87
613,Roger Voss,@vossroger,87
614,,,87
615,Michael Schachner,@wineschach,87
616,,,87
617,,,87
618,,,87
619,,,87
620,,,87
621,,,87
622,Sean P. Sullivan,@wawinereport,87
623,Sean P. Sullivan,@wawinereport,87
624,Sean P. Sullivan,@wawinereport,87
625,,,87
626,,,87
627,,,87
628,Joe Czerwinski,@JoeCz,92
629,Virginie Boone,@vboone,92
630,Paul Gregutt,@paulgwine ,92
631,Anne Krebiehl MW,@AnneInVino,92
632,Anne Krebiehl MW,@AnneInVino,92
633,Joe Czerwinski,@JoeCz,92
634,Virginie Boone,@vboone,92
635,Michael Schachner,@wineschach,92
636,Joe Czerwinski,@JoeCz,92
637,Anne Krebiehl MW,@AnneInVino,92
638,Anne Krebiehl MW,@AnneInVino,92
639,Anne Krebiehl MW,@AnneInVino,92
640,Matt Kettmann,@mattkettmann,92
641,Virginie Boone,@vboone,92
642,Roger Voss,@vossroger,92
643,Virginie Boone,@vboone,92
644,Matt Kettmann,@mattkettmann,92
645,Paul Gregutt,@paulgwine ,92
646,Roger Voss,@vossroger,92
647,Roger Voss,@vossroger,92
648,Anna Lee C. Iijima,,92
649,Virginie Boone,@vboone,92
650,Kerin O’Keefe,@kerinokeefe,92
651,Anne Krebiehl MW,@AnneInVino,92
652,Joe Czerwinski,@JoeCz,92
653,Matt Kettmann,@mattkettmann,92
654,Anne Krebiehl MW,@AnneInVino,92
655,Jim Gordon,@gordone_cellars,92
656,Paul Gregutt,@paulgwine ,92
657,Lauren Buzzeo,@laurbuzz,92
658,Virginie Boone,@vboone,90
659,Sean P. Sullivan,@wawinereport,90
660,Virginie Boone,@vboone,90
661,Jim Gordon,@gordone_cellars,90
662,Kerin O’Keefe,@kerinokeefe,90
663,Virginie Boone,@vboone,90
664,Kerin O’Keefe,@kerinokeefe,90
665,Kerin O’Keefe,@kerinokeefe,90
666,Sean P. Sullivan,@wawinereport,90
667,Michael Schachner,@wineschach,90
668,Anna Lee C. Iijima,,90
669,Sean P. Sullivan,@wawinereport,90
670,Sean P. Sullivan,@wawinereport,90
671,Virginie Boone,@vboone,90
672,Anna Lee C. Iijima,,90
673,Jim Gordon,@gordone_cellars,90
674,Virginie Boone,@vboone,90
675,Virginie Boone,@vboone,90
676,Sean P. Sullivan,@wawinereport,90
677,Kerin O’Keefe,@kerinokeefe,90
678,Kerin O’Keefe,@kerinokeefe,90
679,Sean P. Sullivan,@wawinereport,90
680,Michael Schachner,@wineschach,90
681,Sean P. Sullivan,@wawinereport,90
682,Kerin O’Keefe,@kerinokeefe,90
683,Kerin O’Keefe,@kerinokeefe,90
684,Sean P. Sullivan,@wawinereport,90
685,Virginie Boone,@vboone,90
686,Kerin O’Keefe,@kerinokeefe,90
687,Matt Kettmann,@mattkettmann,90
688,Sean P. Sullivan,@wawinereport,91
689,Matt Kettmann,@mattkettmann,91
690,Anne Krebiehl MW,@AnneInVino,91
691,Jim Gordon,@gordone_cellars,91
692,Kerin O’Keefe,@kerinokeefe,91
693,Virginie Boone,@vboone,91
694,Lauren Buzzeo,@laurbuzz,91
695,Kerin O’Keefe,@kerinokeefe,91
696,Joe Czerwinski,@JoeCz,91
697,Anne Krebiehl MW,@AnneInVino,91
698,Sean P. Sullivan,@wawinereport,91
699,Lauren Buzzeo,@laurbuzz,91
700,Michael Schachner,@wineschach,91
701,Roger Voss,@vossroger,91
702,Roger Voss,@vossroger,91
703,Roger Voss,@vossroger,91
704,Roger Voss,@vossroger,91
705,Joe Czerwinski,@JoeCz,91
706,Roger Voss,@vossroger,91
707,Roger Voss,@vossroger,91
708,Roger Voss,@vossroger,91
709,Virginie Boone,@vboone,91
710,Joe Czerwinski,@JoeCz,91
711,Virginie Boone,@vboone,91
712,Virginie Boone,@vboone,91
713,Virginie Boone,@vboone,91
714,Joe Czerwinski,@JoeCz,91
715,Michael Schachner,@wineschach,91
716,Joe Czerwinski,@JoeCz,91
717,Roger Voss,@vossroger,91
718,Roger Voss,@vossroger,85
719,Roger Voss,@vossroger,85
720,Roger Voss,@vossroger,85
721,Michael Schachner,@wineschach,85
722,Michael Schachner,@wineschach,85
723,Roger Voss,@vossroger,85
724,Alexander Peartree,,85
725,Kerin O’Keefe,@kerinokeefe,85
726,Roger Voss,@vossroger,85
727,Paul Gregutt,@paulgwine ,85
728,Michael Schachner,@wineschach,85
729,Roger Voss,@vossroger,85
730,Jim Gordon,@gordone_cellars,85
731,Lauren Buzzeo,@laurbuzz,85
732,Roger Voss,@vossroger,85
733,Roger Voss,@vossroger,85
734,Michael Schachner,@wineschach,85
735,Michael Schachner,@wineschach,85
736,Matt Kettmann,@mattkettmann,85
737,Roger Voss,@vossroger,85
738,Michael Schachner,@wineschach,85
739,Kerin O’Keefe,@kerinokeefe,85
740,Alexander Peartree,,85
741,Roger Voss,@vossroger,85
742,Roger Voss,@vossroger,85
743,Virginie Boone,@vboone,85
744,Kerin O’Keefe,@kerinokeefe,85
745,Roger Voss,@vossroger,85
746,Joe Czerwinski,@JoeCz,85
747,,,87
748,Anna Lee C. Iijima,,87
749,Roger Voss,@vossroger,87
750,,,87
751,Michael Schachner,@wineschach,87
752,Roger Voss,@vossroger,87
753,,,87
754,Michael Schachner,@wineschach,87
755,,,87
756,,,87
757,,,87
758,,,87
759,Virginie Boone,@vboone,87
760,,,87
761,Michael Schachner,@wineschach,87
762,Michael Schachner,@wineschach,87
763,Michael Schachner,@wineschach,87
764,,,87
765,,,87
766,Joe Czerwinski,@JoeCz,87
767,Michael Schachner,@wineschach,87
768,Joe Czerwinski,@JoeCz,87
769,,,87
770,Roger Voss,@vossroger,92
771,,,92
772,Roger Voss,@vossroger,92
773,Roger Voss,@vossroger,92
774,Paul Gregutt,@paulgwine ,92
775,Paul Gregutt,@paulgwine ,92
776,Roger Voss,@vossroger,92
777,,,92
778,Paul Gregutt,@paulgwine ,92
779,Roger Voss,@vossroger,92
780,,,92
781,,,92
782,,,92
783,,,92
784,Roger Voss,@vossroger,90
785,Michael Schachner,@wineschach,90
786,Roger Voss,@vossroger,90
787,Virginie Boone,@vboone,90
788,Michael Schachner,@wineschach,90
789,Anna Lee C. Iijima,,90
790,Sean P. Sullivan,@wawinereport,90
791,Paul Gregutt,@paulgwine ,90
792,Roger Voss,@vossroger,90
793,Sean P. Sullivan,@wawinereport,90
794,Matt Kettmann,@mattkettmann,90
795,Roger Voss,@vossroger,90
796,Roger Voss,@vossroger,90
797,Roger Voss,@vossroger,90
798,Roger Voss,@vossroger,90
799,Roger Voss,@vossroger,90
800,Matt Kettmann,@mattkettmann,90
801,Virginie Boone,@vboone,90
802,Roger Voss,@vossroger,90
803,Sean P. Sullivan,@wawinereport,90
804,Sean P. Sullivan,@wawinereport,90
805,Paul Gregutt,@paulgwine ,90
806,Jim Gordon,@gordone_cellars,90
807,Joe Czerwinski,@JoeCz,90
808,Kerin O’Keefe,@kerinokeefe,90
809,Michael Schachner,@wineschach,90
810,Virginie Boone,@vboone,90
811,Anna Lee C. Iijima,,90
812,Jim Gordon,@gordone_cellars,90
813,Joe Czerwinski,@JoeCz,90
814,Kerin O’Keefe,@kerinokeefe,86
815,Sean P. Sullivan,@wawinereport,86
816,Anna Lee C. Iijima,,86
817,Michael Schachner,@wineschach,86
818,Roger Voss,@vossroger,86
819,Roger Voss,@vossroger,86
820,Michael Schachner,@wineschach,86
821,Michael Schachner,@wineschach,86
822,Kerin O’Keefe,@kerinokeefe,86
823,Matt Kettmann,@mattkettmann,86
824,Jim Gordon,@gordone_cellars,86
825,Kerin O’Keefe,@kerinokeefe,86
826,Kerin O’Keefe,@kerinokeefe,86
827,Michael Schachner,@wineschach,86
828,Roger Voss,@vossroger,86
829,Paul Gregutt,@paulgwine ,86
830,Roger Voss,@vossroger,86
831,Roger Voss,@vossroger,86
832,Roger Voss,@vossroger,86
833,Kerin O’Keefe,@kerinokeefe,86
